id,question_text_de,question_text_en,question_text_dari,question_text_pashto,category,state,image
113,"Wahlen in Deutschland gewinnt die Partei, die ...",Elections in Germany are won by the party that...,انتخابات در آلمان توسط حزبی پیروز می شود که...,په جرمني کې ټاکنې د هغه ګوند له خوا ګټلې,general,,
114,An demokratischen Wahlen in Deutschland teilzunehmen ist ...,Participating in democratic elections in Germany is...,شرکت در انتخابات دموکراتیک در آلمان...,په آلمان کې په ډموکراتیک ټاکنو کې ګډون,general,,
115,"Was bedeutet ""aktives Wahlrecht"" in Deutschland?",What does “active suffrage” mean in Germany?,«حق رای فعال» در آلمان به چه معناست؟,په جرمني کې «فعال رایه حق» څه معنی لري؟,general,,
116,"Wenn Sie bei einer Bundestagswahl in Deutschland wählen dürfen, heißt das ...","If you are allowed to vote in a federal election in Germany, that means...",اگر شما اجازه دارید در انتخابات فدرال در آلمان رای دهید، به این معنی است که...,که تاسو په جرمني کې په وفاقي ټاکنو کې رای ورکولو اجازه ورکړل شئ، دا پدې معنی,general,,
117,"Wie viel Prozent der Zweitstimmen müssen Parteien mindestens bekommen, um in den Deutschen Bundestag gewählt zu werden?",What is the minimum percentage of second votes that parties have to get in order to be elected to the German Bundestag?,حداقل درصد رای دوم که احزاب برای انتخاب به بونداستاگ آلمان باید به دست آورند چقدر است؟,د دویم رايو لږترلږه سلنه څومره ده چې ګونډونه باید ترلاسه کړي ترڅو د جرمني بنډسټاګ ته ټاکل شي؟,general,,
118,Wer darf bei den rund 40 jüdischen Makkabi-Sportvereinen Mitglied werden?,Who is allowed to become a member of the approximately 40 Jewish Maccabi sports clubs?,چه کسانی مجاز به عضویت در حدود 40 باشگاه ورزشی یهودی مکابی باشند؟,څوک اجازه دی چې د نږدې 40 یهودی مکابی سپورټ کلبونو غړی شي؟,general,,
119,Wahlen in Deutschland sind frei. Was bedeutet das?,Elections in Germany are free. What does that mean?,انتخابات در آلمان آزاد است اين به چه معناست؟,په آلمان کې ټاکنې آزاد دي. دا څه معنی لري؟,general,,
120,Das Wahlsystem in Deutschland ist ein ...,The voting system in Germany is a...,سیستم رای گیری در آلمان یک...,په آلمان کې د رایې ورکولو سیسټم یو...,general,,
121,Eine Partei möchte in den Deutschen Bundestag. Sie muss aber einen Mindestanteil an Wählerstimmen haben. Das heißt ...,"A party wants to join the German Bundestag. However, it must have a minimum percentage of votes. That means...",یک حزب می خواهد به بوندستاگ آلمان بپیوندد. با این حال، باید حداقل درصد آرا داشته باشد. این یعنی...,یو ګوند غواړي چې د جرمني بنډسټاګ سره یوځای شي. په هرصورت، دا باید د رايو لږترلږه سلنه ولري. دا پدې مانا لري...,general,,
122,Welchem Grundsatz unterliegen Wahlen in Deutschland? Wahlen in Deutschland sind ...,What is the principle of elections in Germany? Elections in Germany are...,اصول انتخابات در آلمان چیست؟ انتخابات در آلمان...,په آلمان کې د ټاکنو اصول څه دی؟ په جرمني کې ټاکنې د...,general,,
123,"Was ist in Deutschland die ""5%-Hürde""?",What is the “5% hurdle” in Germany?,«مانع 5 درصد» در آلمان چیست؟,په جرمني کې «5٪ خنډ» څه دی؟,general,,
124,Die Bundestagswahl in Deutschland ist die Wahl ...,The federal election in Germany is the election...,انتخابات فدرال در آلمان انتخابات است...,په جرمني کې وفاقي ټاکنې د ټاکنو...,general,,
125,"In einer Demokratie ist eine Funktion von regelmäßigen Wahlen, ...","In a democracy, one function of regular elections is...",در یک دموکراسی، یکی از کارکردهای انتخابات منظم این است که...,په یوه ډموکراسي کې، د منظم ټاکنو یو فعالیت دی...,general,,
126,Was bekommen wahlberechtigte Bürgerinnen und Bürger in Deutschland vor einer Wahl?,What do citizens eligible to vote in Germany get before an election?,شهروندان واجد شرایط رای دادن در آلمان قبل از انتخابات چه چیزی دریافت می کنند؟,په جرمني کې د رایې ورکولو مستحق وګړي د ټاکنو څخه مخکې څه,general,,
127,"Warum gibt es die 5%-Hürde im Wahlgesetz der Bundesrepublik Deutschland? Es gibt sie, weil ...",Why is there a 5% hurdle in the Federal Republic of Germany's electoral law? They exist because...,چرا در قانون انتخاباتی جمهوری فدرال آلمان مانع پنج درصد وجود دارد؟ آنها وجود دارند چون...,ولې د جرمني وفاقي جمهوریت د ټاکنو قانون کې 5٪ خنډ شتون لري؟ دوی شتون لري ځکه چې...,general,,
128,"Parlamentsmitglieder, die von den Bürgerinnen und Bürgern gewählt werden, nennt man ...",Members of Parliament who are elected by citizens are called...,اعضای پارلمان که توسط شهروندان انتخاب می شوند، نامیده می شوند...,د پارلمان غړي چې د وګړو لخوا ټاکل کیږي د...,general,,
129,Vom Volk gewählt wird in Deutschland ...,Voted by the people in Germany...,رأی مردم آلمان...,په جرمني کې د خلکو لخوا رایه ورکول,general,,
130,Welcher Stimmzettel wäre bei einer Bundestagswahl gültig?,Which ballot paper would be valid in a federal election?,کدام برگه رای در انتخابات فدرال معتبر خواهد بود؟,په وفاقي ټاکنو کې به کوم بیلټ کاغذ اعتبار وي؟,general,,1.0
131,In Deutschland ist eine Bürgermeisterin/ein Bürgermeister ...,"In Germany, a mayor is...",در آلمان، شهردار...,په جرمني کې، یو ښار دی...,general,,
132,Viele Menschen in Deutschland arbeiten in ihrer Freizeit ehrenamtlich. Was bedeutet das?,Many people in Germany volunteer in their free time. What does that mean?,بسیاری از مردم آلمان در اوقات فراغت خود داوطلب می شوند. اين به چه معناست؟,په جرمني کې ډیری خلک په خپل وړیا وخت کې داوط دا څه معنی لري؟,general,,
133,Was ist bei Bundestags- und Landtagswahlen in Deutschland erlaubt?,What is allowed in federal and state elections in Germany?,چه چیزی در انتخابات فدرال و ایالتی در آلمان مجاز است؟,په جرمني کې د وفاقي او ایالتي ټاکنو کې څه اجازه دی,general,,
134,"Man will die Buslinie abschaffen, mit der Sie immer zur Arbeit fahren. Was können Sie machen, um die Buslinie zu erhalten?",They want to abolish the bus line that always takes you to work. What can you do to get on the bus route?,آنها می خواهند خط اتوبوس را که همیشه شما را به سر کار می برد لغو کنند. برای رفتن به مسیر اتوبوس چه کاری می توانید انجام دهید؟,دوی غواړي چې د بس کرښې ختم کړي چې تل تاسو ته کار ته واخلي. تاسو په بس لاره کې د ترلاسه کولو لپاره څه کولی شئ؟,general,,
135,Wen vertreten die Gewerkschaften in Deutschland?,Who do trade unions represent in Germany?,اتحادیه های کارگری در آلمان نماینده چه کسانی هستند؟,په آلمان کې د سوداګریزې اتحادیې څوک,general,,
136,Sie gehen in Deutschland zum Arbeitsgericht bei ...,"In Germany, you go to the labor tribunal at...",در آلمان، شما به دادگاه کار می روید در...,په جرمني کې، تاسو په کاري ټریبونل ته لاړ شئ...,general,,
137,Welches Gericht ist in Deutschland bei Konflikten in der Arbeitswelt zuständig?,Which court in Germany has jurisdiction over conflicts in the world of work?,کدام دادگاه در آلمان صلاحیت درگیری ها در دنیای کار دارد؟,په جرمني کې کوم محکمه د کار نړۍ کې د شخړو په اړه صلاحیت لري؟,general,,
138,"Was kann ich in Deutschland machen, wenn mir meine Arbeitgeberin/mein Arbeitgeber zu Unrecht gekündigt hat?",What can I do in Germany if my employer has wrongly dismissed me?,اگر کارفرمای من را به اشتباه اخراج کرده است در آلمان چه کاری می توانم انجام دهم؟,زه په جرمني کې څه کولی شم که زما کارمند ما په غلط ډول څه وکړم؟,general,,
139,Wann kommt es in Deutschland zu einem Prozess vor Gericht? Wenn jemand ...,When does a lawsuit take place in court in Germany? When someone...,چه زمانی شکایت در دادگاه در آلمان برگزار می شود؟ وقتی یک نفر...,کله چې په جرمني کې عدالت کې دعوی ترسره کیږي؟ کله چې څوک...,general,,
140,Was macht eine Schöffin/ein Schöffe in Deutschland? Sie/Er ...,What does an alderman do in Germany? She/he...,یک فرمانده در آلمان چه می کند؟ اون/اون...,په جرمني کې یو الډرمین څه کوي؟ های/هغه...,general,,
141,Wer berät in Deutschland Personen bei Rechtsfragen und vertritt sie vor Gericht?,Who advises people in Germany on legal issues and represents them in court?,چه کسانی به مردم آلمان در مورد مسائل حقوقی مشاوره می دهند و نمایندگی آنها در دادگاه هستند؟,څوک په آلمان کې خلکو د قانوني مسلو په اړه مشوره کوي او په محکمه کې د,general,,
142,Was ist die Hauptaufgabe einer Richterin/eines Richters in Deutschland? Eine Richterin/ein Richter ...,What is the main task of a judge in Germany? A judge...,وظیفه اصلی یک قاضی در آلمان چیست؟ یک قاضی...,په آلمان کې د قاضي اصلي دنده څه دی؟ یو قاضی...,general,,
143,Eine Richterin/ein Richter in Deutschland gehört zur ...,A judge in Germany belongs to the...,یک قاضی در آلمان متعلق به...,په جرمني کې یو قاضی د...,general,,
144,Eine Richterin/ein Richter gehört in Deutschland zur ...,"In Germany, a judge belongs to the...",در آلمان، یک قاضی متعلق به...,په جرمني کې، یو قاضی سره تعلق لري...,general,,
145,In Deutschland wird die Staatsgewalt geteilt. Für welche Staatsgewalt arbeitet eine Richterin/ein Richter? Für die ...,"In Germany, state power is divided. Which state authority does a judge work for? For the...",در آلمان قدرت دولتی تقسیم شده است. قاضی برای کدام مقام دولتی کار می کند؟ برای...,په جرمني کې دولتي ځواک تقسیم شوی دی. یو قاضی د کوم دولتي واک لپاره کار کوي؟ د... لپاره,general,,
146,Wie nennt man in Deutschland ein Verfahren vor einem Gericht?,What do you call proceedings before a court in Germany?,شما پرونده را در دادگاه در آلمان چه می نامید؟,تاسو په جرمني کې د محکمې وړاندې کاري څه بللئ؟,general,,
147,Was ist die Arbeit einer Richterin/eines Richters in Deutschland?,What is the job of a judge in Germany?,شغل قاضی در آلمان چیست؟,په آلمان کې د قاضی دنده څه دی؟,general,,
148,Was ist eine Aufgabe der Polizei in Deutschland?,What is the task of the police in Germany?,وظیفه پلیس در آلمان چیست؟,په جرمني کې د پولیسو دنده څه دی؟,general,,
149,Was ist ein Beispiel für antisemitisches Verhalten?,What is an example of anti-Semitic behavior?,نمونه ای از رفتار ضد یهودی چیست؟,د یهودیت ضد چلند بیلګه څه دی؟,general,,
150,Eine Gerichtsschöffin/ein Gerichtsschöffe in Deutschland ist ...,A court alderman in Germany is...,یکی از اعضای دادگاه در آلمان...,په جرمني کې د محکمې يو الډرمین...,general,,
151,Wer baute die Mauer in Berlin?,Who built the wall in Berlin?,چه کسانی دیوار را در برلین ساخت؟,څوک په برلین کې دیوال جوړ کړی؟,general,,
152,Wann waren die Nationalsozialisten mit Adolf Hitler in Deutschland an der Macht?,When were the National Socialists with Adolf Hitler in power in Germany?,چه زمانی ناسیونال سوسیالیست ها با آدولف هیتلر در آلمان در قدرت بودند؟,کله چې نیشنل سوسیالیستونه د ایډولف هیټلر سره په جرمني کې په قدرت کې,general,,
153,Was war am 8. Mai 1945?,"What happened on May 8, 1945?",در 8 مه 1945 چه اتفاقی افتاد؟,د مای 8، 1945 په کال څه پیښه شوه؟,general,,
154,Wann war der Zweite Weltkrieg zu Ende?,When did the Second World War end?,جنگ جهانی دوم چه زمانی پایان یافت؟,دویم نړیوال جګړه کله پای ته رسیده؟,general,,
155,Wann waren die Nationalsozialisten in Deutschland an der Macht?,When were the National Socialists in power in Germany?,چه زمانی ناسیونال سوسیالیست ها در آلمان قدرت بودند؟,کله چې په جرمني کې نیشنل سوسیالیست په قدرت کې وو؟,general,,
156,In welchem Jahr wurde Hitler Reichskanzler?,In which year did Hitler become Reich Chancellor?,هیتلر در کدام سال صدراعظم رایش شد؟,په کوم کال کې هیټلر د ریچ چانسلر شو؟,general,,
157,Die Nationalsozialisten mit Adolf Hitler errichteten 1933 in Deutschland ...,The National Socialists with Adolf Hitler built in Germany in 1933...,ناسیونال سوسیالیست ها با آدولف هیتلر در سال 1933 در آلمان ساخته شدند...,د ایډولف هیټلر سره نیشنل سوسیالیست په ۱۹۳۳ کال کې په آلمان کې,general,,
158,"Das ""Dritte Reich"" war eine ...",The “Third Reich” was a...,«رایش سوم» یک...,«دریم ریخ» یو...,general,,
159,Was gab es in Deutschland nicht während der Zeit des Nationalsozialismus?,What did not exist in Germany during the National Socialist period?,چه چیزی در آلمان در دوره ناسیونال سوسیالیست وجود نداشت؟,د نیشنل سوسیالیست دورې په جرمني کې څه نه شتون وو؟,general,,
160,Welcher Krieg dauerte von 1939 bis 1945?,Which war lasted from 1939 to 1945?,کدام جنگ از سال ۱۹۳۹ تا ۱۹۴۵ ادامه داشت؟,کوم جګړه د 1939 څخه 1945 پورې دوام وو؟,general,,
161,Was kennzeichnete den NS-Staat? Eine Politik ...,What characterized the NS state? A policy...,چه چیزی وضعیت NS را مشخص می کند؟ یک سیاست...,د NS دولت څه ځانګړتیاوې؟ یو پالیسي...,general,,
162,Claus Schenk Graf von Stauffenberg wurde bekannt durch ...,Claus Schenk Graf von Stauffenberg became famous for...,کلاوس شنک گراف فون استافنبرگ به خاطر مشهور شد...,کلاز شینک ګراف وان سټافنبرګ د... مشهور شو,general,,
163,In welchem Jahr zerstörten die Nationalsozialisten Synagogen und jüdische Geschäfte in Deutschland?,In which year did the National Socialists destroy synagogues and Jewish businesses in Germany?,ناسیونال سوسیالیست ها در چه سال کنیسه ها و کسب و کارهای یهودی را در آلمان نابود کردند؟,په کوم کال کې نیشنل سوشالیستانو په جرمني کې کنیسټوګونه او یهودیو سوداګر,general,,
164,Was passierte am 9. November 1938 in Deutschland?,"What happened in Germany on November 9, 1938?",در 9 نوامبر 1938 در آلمان چه اتفاقی افتاد؟,په 9 نومبر 1938 په جرمني کې څه پیښه شوه؟,general,,
165,Wie hieß der erste Bundeskanzler der Bundesrepublik Deutschland?,What was the name of the first federal chancellor of the Federal Republic of Germany?,نام اولین صدراعظم فدرال جمهوری فدرال آلمان چه بود؟,د جرمني وفاقي جمهوریت د لومړي وفاقي چانسلر نوم څه وه؟,general,,
166,"8Bei welchen Demonstrationen in Deutschland riefen die Menschen ""Wir sind das Volk""?",8At which demonstrations in Germany did people shout “We are the people”?,8در کدام تظاهرات در آلمان مردم فریاد زدند «ما مردم هستیم»؟,8په جرمني کې په کوم مظاهرونو کې خلک «موږ خلک یو» چالان کړې؟,general,,
167,"Welche Länder wurden nach dem Zweiten Weltkrieg in Deutschland als ""Alliierte Besatzungsmächte"" bezeichnet?",Which countries were referred to as the “Allied Occupying Powers” in Germany after World War II?,پس از جنگ جهانی دوم از کدام کشورها به عنوان «قدرتهای اشغالگر متفقین» در آلمان شناخته شدند؟,د دوهم نړیوالې جګړې وروسته په جرمني کې کوم هېوادونو ته د «متفقین باندې ځواکونه»,general,,
168,"Welches Land war keine ""Alliierte Besatzungsmacht"" in Deutschland?",Which country was not an “Allied Occupying Power” in Germany?,کدام کشور «قدرت اشغالگر متفقین» در آلمان نبود؟,کوم هېواد په جرمني کې د «اتحاد باندې ځواک» نه و؟,general,,
169,Wann wurde die Bundesrepublik Deutschland gegründet?,When was the Federal Republic of Germany founded?,جمهوری فدرال آلمان چه زمانی تاسیس شد؟,د آلمان وفاقي جمهوریت کله تاسیس شو؟,general,,
170,Was gab es während der Zeit des Nationalsozialismus in Deutschland?,What was there in Germany during the National Socialist era?,در دوران ناسیونال سوسیالیست در آلمان چه چیزی وجود داشت؟,په نیشنل سوسیالیست دوره کې په جرمني کې څه شتون لري؟,general,,
171,"Soziale Marktwirtschaft bedeutet, die Wirtschaft ...",Social market economy means that the economy...,اقتصاد بازار اجتماعی به این معنی است که اقتصاد...,ټولنیز بازار اقتصاد دا معنی لري چې اقتصاد...,general,,
172,In welcher Besatzungszone wurde die DDR gegründet? In der ...,In which zone of occupation was the GDR founded? In the...,GDR در کدام منطقه اشغال تاسیس شد؟ در...,د کسب کولو په کوم زون کې د GDR تاسیس شو؟ په...,general,,
173,Die Bundesrepublik Deutschland ist ein Gründungsmitglied ...,The Federal Republic of Germany is a founding member...,جمهوری فدرال آلمان یکی از اعضای بنیانگذار است...,د آلمان وفاقي جمهوریت یو بنسټ غړی دی...,general,,
174,Wann wurde die DDR gegründet?,When was the GDR founded?,GDR چه زمانی تاسیس شد؟,د GDR کله تاسیس شو؟,general,,
175,Wie viele Besatzungszonen gab es in Deutschland nach dem Zweiten Weltkrieg?,How many zones of occupation were there in Germany after World War II?,پس از جنگ جهانی دوم در آلمان چند منطقه اشغال وجود داشت؟,د دوویم نړیوالې جګړې وروسته په جرمني کې د کسب کولو څومره زونونه,general,,
176,Wie waren die Besatzungszonen Deutschlands nach 1945 verteilt?,How were Germany's occupation zones distributed after 1945?,مناطق اشغال آلمان پس از سال 1945 چگونه توزیع شد؟,د 1945 وروسته د آلمان د اشغال زونونه څنګه ویشل شوي؟,general,,1.0
177,Welche deutsche Stadt wurde nach dem Zweiten Weltkrieg in vier Sektoren aufgeteilt?,Which German city was divided into four sectors after World War II?,کدام شهر آلمان پس از جنگ جهانی دوم به چهار بخش تقسیم شد؟,د دوهم نړیوال جګړې وروسته کوم آلمان ښار په څلور برخو کې تقسیم شو,general,,
178,Vom Juni 1948 bis zum Mai 1949 wurden die Bürgerinnen und Bürger von West-Berlin durch eine Luftbrücke versorgt. Welcher Umstand war dafür verantwortlich?,"From June 1948 to May 1949, the citizens of West Berlin were supplied by an airlift. Which circumstance was responsible for this?",از ژوئن ۱۹۴۸ تا مه ۱۹۴۹، شهروندان برلین غربی از طریق حمل و نقل هوایی تأمین می شدند. کدام شرایط مسئول این بود؟,د جون ۱۹۴۸ څخه تر مئی ۱۹۴۹ پورې د لویدیځ برلین وګړو د هوایي لارې چمتو شوي. د دې لپاره کوم حالت مسوله وه؟,general,,
179,Wie endete der Zweite Weltkrieg in Europa offiziell?,How did World War II officially end in Europe?,جنگ جهانی دوم چگونه رسما در اروپا به پایان رسید؟,دوهم نړیواله جګړه په اروپا کې څنګه په رسمي ډول,general,,
180,Der erste Bundeskanzler der Bundesrepublik Deutschland war ...,The first Chancellor of the Federal Republic of Germany was...,اولین صدراعظم جمهوری فدرال آلمان...,د جرمني وفاقي جمهوریت لومړی چانسلر و...,general,,
181,Was wollte Willy Brandt mit seinem Kniefall 1970 im ehemaligen jüdischen Ghetto in Warschau ausdrücken?,What did Willy Brandt want to express when he fell on his knee in 1970 in the former Jewish ghetto in Warsaw?,ویلی برانت وقتی در سال ۱۹۷۰ در گتو سابق یهودیان در ورشو به زانو افتاد، چه چیزی می خواست بیان کند؟,ولی برانډټ څه څه بیان غواړه کله چې هغه په ۱۹۷۰ کال کې په وارسا کې په پخوانۍ یهودیانو ګیټو کې په خپل زګانو کې,general,,1.0
182,Wie heißt das jüdische Gebetshaus?,What is the name of the Jewish house of prayer?,نام خانه نماز یهودیان چیست؟,د یهودیانو د دعا کور نوم څه دی؟,general,,
183,"Wann war in der Bundesrepublik Deutschland das ""Wirtschaftswunder""?",When was the “economic miracle” in the Federal Republic of Germany?,«معجزه اقتصادی» در جمهوری فدرال آلمان چه زمانی بود؟,کله چې د جرمني وفاقي جمهوریت کې «اقتصادي معجزه» وو؟,general,,
184,Auf welcher rechtlichen Grundlage wurde der Staat Israel gegründet?,On what legal basis was the State of Israel founded?,دولت اسرائیل بر چه مبنای قانونی تأسیس شد؟,د اسرائیل دولت په کوم قانوني اساس پر بنسټ شوی؟,general,,
185,"Wofür stand der Ausdruck ""Eiserner Vorhang""? Für die Abschottung ...",What did the expression “iron curtain” stand for? For foreclosure...,عبارت «پرده آهنی» به چه معناست؟ برای جلوگیری...,«د لوړو پرده» بیان د څه لپاره وو؟ د اخیستنې لپاره...,general,,
186,"Im Jahr 1953 gab es in der DDR einen Aufstand, an den lange Zeit in der Bundesrepublik Deutschland ein Feiertag erinnerte. Wann war das?","In 1953, there was an uprising in the GDR, which was commemorated by a public holiday in the Federal Republic of Germany for a long time. When was that?",در سال 1953، یک قیام در GDR رخ داد که برای مدت طولانی با یک تعطیل عمومی در جمهوری فدرال آلمان به یاد گرفته شد. اون کجا بود؟,په 1953 کال کې، په GDR کې یوه بغاوت شو، چې د اوږد وخت لپاره د آلمان وفاقي جمهوریت کې د عمومي رخصتۍ له خوا یادونه وشوه. دا کله وه؟,general,,
187,"Welcher deutsche Staat hatte eine schwarz-rot-goldene Flagge mit Hammer, Zirkel und Ährenkranz?","Which German state had a black, red and gold flag with a hammer, compass and a wreath of corn?",کدام ایالت آلمان پرچم سیاه، قرمز و طلایی با چکش، قطب نما و یک تاج گل ذرت داشت؟,د جرمني کوم دولت د هېومر، کمپاس او د مکۍ ګلې سره تور، سور او زور پرچم درلود؟,general,,
188,In welchem Jahr wurde die Mauer in Berlin gebaut?,In which year was the Berlin Wall built?,دیوار برلین در کدام سال ساخته شد؟,په کوم کال کې د برلین دیوال جوړ شوی؟,general,,
189,Wann baute die DDR die Mauer in Berlin?,When did the GDR build the wall in Berlin?,GDR چه زمانی دیوار را در برلین ساخت؟,کله چې GDR په برلین کې دیوال جوړ کړه؟,general,,
190,Was bedeutet die Abkürzung DDR?,What does the abbreviation DDR mean?,اختصار DDR به چه معناست؟,د مخفف DDR څه معنی لري؟,general,,
191,Wann wurde die Mauer in Berlin für alle geöffnet?,When was the wall in Berlin opened to everyone?,چه زمانی دیوار برلین برای همه باز شد؟,په برلن کې دیوال کله چې هر چا ته پرانستل شو؟,general,,
192,Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?,Which current German federal state was formerly part of the GDR?,کدام ایالت فدرال فعلی آلمان قبلا بخشی از GDR بود؟,کوم اوسنۍ آلمان وفاقي ایالت مخکې د GDR برخه وه؟,general,,
193,Von 1961 bis 1989 war Berlin ...,"From 1961 to 1989, Berlin was...",از سال ۱۹۶۱ تا ۱۹۸۹ برلین...,له 1961 څخه تر 1989 پورې، برلین و...,general,,
194,Am 3. Oktober feiert man in Deutschland den Tag der Deutschen ...,"On October 3, Germany celebrates German Day...",در تاریخ 3 اکتبر، آلمان روز آلمان را جشن می گیرد...,په 3 اکتوبر کې، آلمان د جرمني ورځ ولمانځل...,general,,
195,Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?,Which current German federal state was formerly part of the GDR?,کدام ایالت فدرال فعلی آلمان قبلا بخشی از GDR بود؟,کوم اوسنۍ آلمان وفاقي ایالت مخکې د GDR برخه وه؟,general,,
196,"Warum nennt man die Zeit im Herbst 1989 in der DDR ""Die Wende""? In dieser Zeit veränderte sich die DDR politisch ...","Why is the period in autumn 1989 in the GDR called “The Turning Point”? During this time, the GDR changed politically...",چرا دوره پاییز 1989 در GDR «نقطه عطف» نامیده می شود؟ در این مدت، GDR از نظر سیاسی تغییر کرد...,ولې د 1989 په مني کې موده په GDR کې «د ټینګ پوینټ» په نوم کیږي؟ د دې وخت په مهال، GDR په سیاسي ډول بدل شوه...,general,,
197,Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?,Which current German federal state was formerly part of the GDR?,کدام ایالت فدرال فعلی آلمان قبلا بخشی از GDR بود؟,کوم اوسنۍ آلمان وفاقي ایالت مخکې د GDR برخه وه؟,general,,
198,Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?,Which current German federal state was formerly part of the GDR?,کدام ایالت فدرال فعلی آلمان قبلا بخشی از GDR بود؟,کوم اوسنۍ آلمان وفاقي ایالت مخکې د GDR برخه وه؟,general,,
199,"Mit der Abkürzung ""Stasi"" meinte man in der DDR ...","In the GDR, the abbreviation “Stasi” meant...",در GDR، اختصار «Stasi» به معنای...,په GDR کې، مخفف «ستاسي» معنی لري...,general,,
200,Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?,Which current German federal state was formerly part of the GDR?,کدام ایالت فدرال فعلی آلمان قبلا بخشی از GDR بود؟,کوم اوسنۍ آلمان وفاقي ایالت مخکې د GDR برخه وه؟,general,,
201,"Welche der folgenden Auflistungen enthält nur Bundesländer, die zum Gebiet der früheren DDR gehörten?",Which of the following listings only contains federal states that belonged to the territory of the former GDR?,کدام یک از لیست های زیر فقط شامل ایالت های فدرال است که متعلق به قلمرو GDR سابق است؟,له لاندې لیستونو څخه کوم یوازې وفاقي ایالتونه شامل دي چې د پخوانۍ GDR سیمه سره تعلق لري؟,general,,
202,"Zu wem gehörte die DDR im ""Kalten Krieg""?",Who did the GDR belong to during the “Cold War”?,GDR در طول «جنگ سرد» به چه کسانی تعلق داشت؟,د «سرد جګړې» په مهال د GDR څوک سره تعلق لري؟,general,,
203,Wie hieß das Wirtschaftssystem der DDR?,What was the GDR's economic system called?,نظام اقتصادی GDR چه نام داشت؟,د GDR اقتصادي سیسټم څه نوم شو؟,general,,
204,Wie wurden die Bundesrepublik Deutschland und die DDR zu einem Staat?,How did the Federal Republic of Germany and the GDR become one state?,چگونه جمهوری فدرال آلمان و GDR به یک ایالت تبدیل شدند؟,د جرمني وفاقي جمهوریت او GDR څنګه یو ایالت شو؟,general,,
205,Mit dem Beitritt der DDR zur Bundesrepublik Deutschland gehören die neuen Bundesländer nun auch ...,"With the accession of the GDR to the Federal Republic of Germany, the new federal states now also include...",با عضویت GDR به جمهوری فدرال آلمان، کشورهای فدرال جدید اکنون نیز شامل...,د جرمني وفاقي جمهوریت ته د GDR د رسیدو سره، نوي وفاقي ایالتونو کې اوس هم شامل دي...,general,,
206,Woran erinnern die sogenannten „Stolpersteine“ in Deutschland?,What are the so-called “stumbling blocks” in Germany reminiscent of?,به اصطلاح «موانع خستگی» در آلمان یادآور چیست؟,په جرمني کې یادونه یادونه یادونه یاد کوي؟,general,,
207,In welchem Militärbündnis war die DDR Mitglied?,Which military alliance was the GDR a member of?,GDR عضو کدام اتحاد نظامی بود؟,د کوم پوځي اتحاد د GDR غړی و؟,general,,
208,"Was war die ""Stasi""?",What was the “Stasi”?,«استاسی» چه بود؟,«سټاسي» څه وه؟,general,,
209,Welches war das Wappen der Deutschen Demokratischen Republik?,What was the coat of arms of the German Democratic Republic?,علامت جمهوری دموکراتیک آلمان چه بود؟,د آلمان ډموکراتیک جمهوریت د وسلو کوټ څه وه؟,general,,1.0
210,Was ereignete sich am 17. Juni 1953 in der DDR?,"What happened in the GDR on June 17, 1953?",در 17 ژوئن 1953 در GDR چه اتفاقی افتاد؟,په جون ۱۷، ۱۹۵۳ نېټه په GDR کې څه پیښه شوې؟,general,,
211,"Welcher Politiker steht für die ""Ostverträge""?",Which politician stands for the “Eastern Treaties”?,کدام سیاستمدار مخالف «معاهدات شرقی» است؟,کوم سیاست دان د «ختیځ معاهدات» لپاره وي؟,general,,
212,Wie heißt Deutschland mit vollem Namen?,What is Germany's full name?,نام کامل آلمان چیست؟,د آلمان بشپړ نوم څه دی؟,general,,
213,Wie viele Einwohner hat Deutschland?,How many inhabitants does Germany have?,آلمان چند نفر جمعیت دارد؟,آلمان څومره اوسیدونکي لري؟,general,,
214,Welche Farben hat die deutsche Flagge?,What colors does the German flag have?,پرچم آلمان چه رنگی دارد؟,د آلمان پرچم کوم رنګونه لري؟,general,,
215,"Wer wird als ""Kanzler der Deutschen Einheit"" bezeichnet?",Who is referred to as the “Chancellor of German Unity”?,چه کسانی به عنوان «صدراعظم وحدت آلمان» شناخته می شوند؟,څوک ته د «د آلمان وحدت چانسلر» په توګه یادونه کیږي؟,general,,
216,Welches Symbol ist im Plenarsaal des Deutschen Bundestages zu sehen?,Which symbol can be seen in the plenary hall of the German Bundestag?,کدام نماد را می توان در سالن plenaris بوندستاگ آلمان مشاهده کرد؟,کوم سمبول د جرمني بنډسټاګ په بشپړ تالار کې لیدلی شي؟,general,,1.0
217,In welchem Zeitraum gab es die Deutsche Demokratische Republik (DDR)?,In what period did the German Democratic Republic (GDR) exist?,جمهوری دموکراتیک آلمان (GDR) در چه دوره ای وجود داشت؟,په کوم دوره کې د آلمان ډموکراتیک جمهوریت (GDR) شتون لري؟,general,,
